userid,dt,campaign_id
120,2013-01-06,TW
121,2013-01-06,FB
122,2013-01-06,FB
123,2013-01-07,TW
124,2013-01-07,TW
125,2013-01-07,FB
126,2013-01-07,FB
127,2013-01-07,FB
128,2013-01-07,FB
129,2013-01-07,PI
130,2013-01-07,TW
131,2013-01-07,TW
132,2013-01-07,TW
133,2013-01-07,TW
134,2013-01-07,TW
135,2013-01-07,TW
136,2013-01-07,TW
137,2013-01-07,TW
138,2013-01-07,TW
139,2013-01-08,RE
140,2013-01-08,TW
141,2013-01-08,PI
142,2013-01-08,FB
143,2013-01-08,RE
144,2013-01-08,TW
145,2013-01-08,TW
146,2013-01-08,RE
147,2013-01-08,FB
148,2013-01-08,TW
149,2013-01-08,RE
150,2013-01-08,TW
151,2013-01-08,RE
152,2013-01-08,TW
153,2013-01-08,FB
154,2013-01-08,PI
155,2013-01-08,FB
156,2013-01-08,TW
157,2013-01-08,TW
158,2013-01-08,TW
159,2013-01-08,TW
160,2013-01-08,TW
161,2013-01-08,RE
162,2013-01-08,FB
163,2013-01-08,FB
164,2013-01-08,TW
165,2013-01-08,PI
166,2013-01-08,RE
167,2013-01-09,FB
168,2013-01-09,FB
169,2013-01-09,FB
170,2013-01-09,FB
171,2013-01-09,PI
172,2013-01-09,FB
173,2013-01-09,TW
174,2013-01-09,TW
175,2013-01-09,FB
176,2013-01-09,FB
177,2013-01-09,TW
178,2013-01-09,FB
179,2013-01-09,TW
180,2013-01-09,RE
181,2013-01-09,TW
182,2013-01-09,TW
183,2013-01-09,TW
184,2013-01-09,PI
185,2013-01-09,FB
186,2013-01-09,TW
187,2013-01-09,TW
188,2013-01-10,PI
189,2013-01-10,FB
190,2013-01-10,TW
191,2013-01-10,FB
192,2013-01-10,FB
193,2013-01-10,RE
194,2013-01-10,RE
195,2013-01-10,FB
196,2013-01-10,FB
197,2013-01-10,PI
198,2013-01-10,FB
199,2013-01-10,TW
200,2013-01-10,FB
201,2013-01-11,TW
202,2013-01-11,TW
203,2013-01-11,RE
204,2013-01-11,FB
205,2013-01-11,FB
206,2013-01-11,FB
207,2013-01-11,RE
208,2013-01-11,FB
209,2013-01-11,TW
210,2013-01-11,TW
211,2013-01-11,FB
212,2013-01-11,FB
213,2013-01-11,FB
214,2013-01-11,FB
215,2013-01-11,TW
216,2013-01-11,TW
217,2013-01-12,TW
218,2013-01-12,FB
219,2013-01-12,FB
220,2013-01-12,FB
221,2013-01-12,RE
222,2013-01-12,FB
223,2013-01-12,TW
224,2013-01-12,FB
225,2013-01-12,FB
226,2013-01-12,FB
227,2013-01-12,FB
228,2013-01-13,FB
229,2013-01-13,FB
230,2013-01-13,TW
231,2013-01-13,FB
232,2013-01-13,RE
233,2013-01-13,FB
234,2013-01-13,RE
235,2013-01-13,TW
236,2013-01-13,FB
237,2013-01-13,TW
238,2013-01-13,TW
239,2013-01-13,TW
240,2013-01-13,FB
241,2013-01-13,PI
242,2013-01-13,RE
243,2013-01-13,FB
244,2013-01-13,TW
245,2013-01-13,TW
246,2013-01-13,RE
247,2013-01-13,FB
248,2013-01-13,TW
249,2013-01-13,RE
250,2013-01-13,FB
251,2013-01-14,TW
252,2013-01-14,FB
253,2013-01-14,TW
254,2013-01-14,RE
255,2013-01-14,FB
256,2013-01-14,TW
257,2013-01-14,PI
258,2013-01-14,PI
259,2013-01-15,TW
260,2013-01-15,FB
261,2013-01-15,TW
262,2013-01-15,PI
263,2013-01-15,TW
264,2013-01-15,TW
265,2013-01-15,TW
266,2013-01-15,FB
267,2013-01-15,FB
268,2013-01-15,TW
269,2013-01-15,TW
270,2013-01-15,FB
271,2013-01-15,PI
272,2013-01-15,TW
273,2013-01-15,RE
274,2013-01-15,RE
275,2013-01-15,TW
276,2013-01-15,TW
277,2013-01-15,FB
278,2013-01-15,TW
279,2013-01-15,FB
280,2013-01-15,TW
281,2013-01-15,FB
282,2013-01-15,PI
283,2013-01-15,TW
284,2013-01-15,TW
285,2013-01-15,RE
286,2013-01-17,RE
287,2013-01-17,FB
288,2013-01-17,FB
289,2013-01-17,FB
290,2013-01-17,TW
291,2013-01-17,FB
292,2013-01-17,RE
293,2013-01-17,TW
294,2013-01-17,RE
295,2013-01-17,FB
296,2013-01-17,TW
297,2013-01-17,RE
298,2013-01-17,TW
299,2013-01-17,RE
300,2013-01-17,FB
301,2013-01-17,TW
302,2013-01-17,RE
303,2013-01-17,FB
304,2013-01-17,TW
305,2013-01-17,FB
306,2013-01-17,FB
307,2013-01-19,FB
308,2013-01-19,FB
309,2013-01-19,TW
310,2013-01-19,TW
311,2013-01-19,TW
312,2013-01-19,RE
313,2013-01-19,TW
314,2013-01-19,TW
315,2013-01-19,FB
316,2013-01-19,FB
317,2013-01-19,TW
318,2013-01-19,TW
319,2013-01-19,TW
320,2013-01-19,TW
321,2013-01-19,FB
322,2013-01-19,FB
323,2013-01-19,TW
324,2013-01-19,TW
325,2013-01-19,FB
326,2013-01-19,TW
327,2013-01-20,TW
328,2013-01-20,TW
329,2013-01-20,TW
330,2013-01-20,TW
331,2013-01-20,TW
332,2013-01-20,FB
333,2013-01-20,TW
334,2013-01-20,FB
335,2013-01-20,TW
336,2013-01-20,TW
337,2013-01-20,FB
338,2013-01-20,TW
339,2013-01-20,TW
340,2013-01-21,FB
341,2013-01-21,FB
342,2013-01-21,PI
343,2013-01-21,FB
344,2013-01-21,FB
345,2013-01-21,RE
346,2013-01-21,RE
347,2013-01-21,TW
348,2013-01-21,FB
349,2013-01-21,FB
350,2013-01-21,FB
351,2013-01-21,FB
352,2013-01-21,TW
353,2013-01-21,PI
354,2013-01-21,TW
355,2013-01-21,FB
356,2013-01-21,TW
357,2013-01-21,FB
358,2013-01-21,TW
359,2013-01-21,FB
360,2013-01-21,FB
361,2013-01-22,FB
362,2013-01-22,TW
363,2013-01-22,PI
364,2013-01-22,FB
365,2013-01-22,FB
366,2013-01-22,RE
367,2013-01-22,FB
368,2013-01-22,RE
369,2013-01-22,TW
370,2013-01-22,TW
371,2013-01-22,PI
372,2013-01-22,FB
373,2013-01-22,RE
374,2013-01-22,TW
375,2013-01-22,TW
376,2013-01-22,TW
377,2013-01-22,PI
378,2013-01-24,PI
379,2013-01-24,TW
380,2013-01-24,TW
381,2013-01-25,TW
382,2013-01-25,FB
383,2013-01-25,TW
384,2013-01-25,TW
385,2013-01-25,TW
386,2013-01-25,PI
387,2013-01-25,FB
388,2013-01-25,FB
389,2013-01-25,TW
390,2013-01-25,FB
391,2013-01-25,PI
392,2013-01-25,TW
393,2013-01-25,PI
394,2013-01-25,RE
395,2013-01-25,FB
396,2013-01-25,TW
397,2013-01-25,TW
398,2013-01-25,TW
399,2013-01-25,TW
400,2013-01-25,FB
401,2013-01-25,FB
402,2013-01-25,TW
403,2013-01-25,FB
404,2013-01-25,TW
405,2013-01-25,FB
406,2013-01-25,RE
407,2013-01-25,RE
408,2013-01-25,FB
409,2013-01-26,TW
410,2013-01-26,FB
411,2013-01-26,PI
412,2013-01-26,TW
413,2013-01-26,FB
414,2013-01-26,FB
415,2013-01-26,TW
416,2013-01-26,FB
417,2013-01-26,TW
418,2013-01-26,TW
419,2013-01-26,FB
420,2013-01-26,TW
421,2013-01-27,PI
422,2013-01-27,FB
423,2013-01-27,FB
424,2013-01-27,PI
425,2013-01-27,TW
426,2013-01-27,TW
427,2013-01-27,TW
428,2013-01-27,FB
429,2013-01-27,RE
430,2013-01-27,FB
431,2013-01-27,FB
432,2013-01-27,TW
433,2013-01-27,PI
434,2013-01-27,TW
435,2013-01-27,TW
436,2013-01-27,TW
437,2013-01-27,RE
438,2013-01-28,FB
439,2013-01-28,TW
440,2013-01-28,FB
441,2013-01-28,TW
442,2013-01-29,RE
443,2013-01-29,TW
444,2013-01-29,RE
445,2013-01-29,FB
446,2013-01-29,FB
447,2013-01-29,TW
448,2013-01-30,TW
449,2013-01-30,FB
450,2013-01-30,TW
451,2013-01-30,FB
452,2013-01-30,FB
453,2013-01-30,FB
454,2013-01-31,RE
455,2013-01-31,PI
456,2013-01-31,FB
457,2013-01-31,FB
458,2013-01-31,FB
459,2013-01-31,PI
460,2013-01-31,FB
461,2013-01-31,FB
462,2013-01-31,TW
463,2013-01-31,TW
464,2013-01-31,FB
465,2013-01-31,FB
466,2013-01-31,TW
467,2013-01-31,TW
468,2013-01-31,FB
469,2013-01-31,PI
470,2013-01-31,FB
471,2013-01-31,TW
472,2013-01-31,FB
473,2013-01-31,RE
474,2013-01-31,FB
475,2013-01-31,FB
476,2013-01-31,TW
477,2013-02-01,RE
478,2013-02-01,TW
479,2013-02-01,TW
480,2013-02-01,FB
481,2013-02-01,PI
482,2013-02-01,FB
483,2013-02-01,PI
484,2013-02-01,TW
485,2013-02-01,TW
486,2013-02-01,TW
487,2013-02-01,TW
488,2013-02-01,PI
489,2013-02-01,TW
490,2013-02-01,PI
491,2013-02-01,PI
492,2013-02-01,TW
493,2013-02-03,PI
494,2013-02-03,FB
495,2013-02-03,FB
496,2013-02-03,TW
497,2013-02-03,RE
498,2013-02-03,FB
499,2013-02-03,FB
500,2013-02-03,TW
501,2013-02-04,RE
502,2013-02-04,TW
503,2013-02-04,FB
504,2013-02-04,TW
505,2013-02-04,FB
506,2013-02-04,TW
507,2013-02-04,TW
508,2013-02-04,FB
509,2013-02-04,TW
510,2013-02-04,RE
511,2013-02-04,FB
512,2013-02-04,TW
513,2013-02-04,TW
514,2013-02-04,FB
515,2013-02-04,RE
516,2013-02-04,FB
517,2013-02-04,FB
518,2013-02-04,TW
519,2013-02-04,TW
520,2013-02-04,TW
521,2013-02-04,FB
522,2013-02-05,FB
523,2013-02-05,FB
524,2013-02-05,FB
525,2013-02-05,TW
526,2013-02-06,TW
527,2013-02-07,FB
528,2013-02-07,RE
529,2013-02-07,TW
530,2013-02-07,RE
531,2013-02-07,RE
532,2013-02-08,PI
533,2013-02-08,FB
534,2013-02-08,TW
535,2013-02-08,FB
536,2013-02-08,FB
537,2013-02-08,FB
538,2013-02-09,TW
539,2013-02-10,TW
540,2013-02-10,TW
541,2013-02-10,FB
542,2013-02-10,FB
543,2013-02-11,TW
544,2013-02-12,PI
545,2013-02-12,FB
546,2013-02-12,FB
547,2013-02-12,TW
548,2013-02-12,FB
549,2013-02-12,PI
550,2013-02-12,TW
551,2013-02-12,TW
552,2013-02-12,RE
553,2013-02-12,TW
554,2013-02-12,TW
555,2013-02-12,FB
556,2013-02-12,FB
557,2013-02-12,RE
558,2013-02-12,TW
559,2013-02-12,RE
560,2013-02-12,TW
561,2013-02-12,TW
562,2013-02-12,PI
563,2013-02-12,RE
564,2013-02-12,PI
565,2013-02-13,FB
566,2013-02-13,RE
567,2013-02-13,FB
568,2013-02-13,RE
569,2013-02-13,RE
570,2013-02-13,FB
571,2013-02-13,TW
572,2013-02-13,FB
573,2013-02-13,TW
574,2013-02-13,TW
575,2013-02-13,FB
576,2013-02-13,FB
577,2013-02-13,TW
578,2013-02-13,TW
579,2013-02-13,TW
580,2013-02-13,FB
581,2013-02-13,FB
582,2013-02-14,PI
583,2013-02-14,FB
584,2013-02-14,FB
585,2013-02-14,FB
586,2013-02-14,FB
587,2013-02-14,FB
588,2013-02-14,TW
589,2013-02-14,TW
590,2013-02-14,TW
591,2013-02-14,TW
592,2013-02-14,FB
593,2013-02-14,TW
594,2013-02-14,PI
595,2013-02-14,FB
596,2013-02-15,FB
597,2013-02-15,TW
598,2013-02-15,FB
599,2013-02-15,PI
600,2013-02-15,TW
601,2013-02-15,PI
602,2013-02-15,FB
603,2013-02-15,TW
604,2013-02-15,RE
605,2013-02-15,TW
606,2013-02-15,FB
607,2013-02-16,TW
608,2013-02-16,RE
609,2013-02-16,FB
610,2013-02-16,PI
611,2013-02-16,FB
612,2013-02-16,PI
613,2013-02-16,TW
614,2013-02-16,RE
615,2013-02-16,FB
616,2013-02-16,TW
617,2013-02-16,PI
618,2013-02-16,TW
619,2013-02-16,RE
620,2013-02-16,PI
621,2013-02-16,TW
622,2013-02-16,FB
623,2013-02-16,FB
624,2013-02-16,FB
625,2013-02-16,FB
626,2013-02-16,FB
627,2013-02-16,TW
628,2013-02-16,FB
629,2013-02-17,TW
630,2013-02-17,TW
631,2013-02-17,TW
632,2013-02-17,RE
633,2013-02-17,RE
634,2013-02-17,FB
635,2013-02-17,PI
636,2013-02-17,TW
637,2013-02-17,FB
638,2013-02-17,RE
639,2013-02-17,PI
640,2013-02-17,PI
641,2013-02-17,TW
642,2013-02-17,TW
643,2013-02-17,FB
644,2013-02-17,FB
645,2013-02-17,PI
646,2013-02-17,TW
647,2013-02-17,TW
648,2013-02-18,FB
649,2013-02-18,TW
650,2013-02-18,PI
651,2013-02-18,FB
652,2013-02-18,PI
653,2013-02-18,TW
654,2013-02-18,PI
655,2013-02-18,FB
656,2013-02-18,FB
657,2013-02-18,TW
658,2013-02-18,FB
659,2013-02-18,PI
660,2013-02-18,PI
661,2013-02-18,FB
662,2013-02-18,FB
663,2013-02-18,TW
664,2013-02-18,TW
665,2013-02-18,FB
666,2013-02-18,TW
667,2013-02-19,TW
668,2013-02-19,TW
669,2013-02-19,TW
670,2013-02-19,FB
671,2013-02-19,PI
672,2013-02-19,TW
673,2013-02-19,TW
674,2013-02-20,RE
675,2013-02-20,TW
676,2013-02-20,PI
677,2013-02-20,FB
678,2013-02-20,FB
679,2013-02-20,FB
680,2013-02-20,FB
681,2013-02-20,FB
682,2013-02-20,PI
683,2013-02-20,FB
684,2013-02-20,FB
685,2013-02-20,TW
686,2013-02-20,FB
687,2013-02-20,FB
688,2013-02-21,RE
689,2013-02-21,RE
690,2013-02-21,TW
691,2013-02-21,FB
692,2013-02-21,RE
693,2013-02-21,FB
694,2013-02-21,FB
695,2013-02-21,FB
696,2013-02-21,PI
697,2013-02-21,FB
698,2013-02-21,TW
699,2013-02-21,FB
700,2013-02-21,TW
701,2013-02-21,TW
702,2013-02-21,PI
703,2013-02-21,FB
704,2013-02-21,FB
705,2013-02-21,FB
706,2013-02-21,TW
707,2013-02-21,FB
708,2013-02-21,PI
709,2013-02-21,TW
710,2013-02-21,RE
711,2013-02-21,RE
712,2013-02-21,TW
713,2013-02-22,TW
714,2013-02-22,FB
715,2013-02-22,RE
716,2013-02-22,FB
717,2013-02-22,FB
718,2013-02-23,TW
719,2013-02-23,TW
720,2013-02-23,FB
721,2013-02-23,TW
722,2013-02-23,TW
723,2013-02-23,TW
724,2013-02-23,TW
725,2013-02-23,FB
726,2013-02-23,FB
727,2013-02-23,TW
728,2013-02-23,FB
729,2013-02-23,TW
730,2013-02-23,PI
731,2013-02-23,TW
732,2013-02-23,FB
733,2013-02-23,TW
734,2013-02-23,FB
735,2013-02-23,TW
736,2013-02-23,TW
737,2013-02-23,PI
738,2013-02-23,TW
739,2013-02-23,TW
740,2013-02-23,RE
741,2013-02-23,TW
742,2013-02-23,FB
743,2013-02-23,TW
744,2013-02-24,FB
745,2013-02-24,TW
746,2013-02-24,TW
747,2013-02-24,RE
748,2013-02-24,RE
749,2013-02-24,TW
750,2013-02-24,TW
751,2013-02-24,TW
752,2013-02-24,TW
753,2013-02-24,TW
754,2013-02-24,TW
755,2013-02-24,FB
756,2013-02-24,RE
757,2013-02-24,TW
758,2013-02-24,TW
759,2013-02-24,RE
760,2013-02-24,FB
761,2013-02-24,FB
762,2013-02-24,TW
763,2013-02-24,FB
764,2013-02-24,TW
765,2013-02-25,TW
766,2013-02-25,TW
767,2013-02-25,TW
768,2013-02-25,TW
769,2013-02-25,RE
770,2013-02-25,FB
771,2013-02-25,FB
772,2013-02-25,TW
773,2013-02-25,TW
774,2013-02-25,FB
775,2013-02-25,RE
776,2013-02-25,PI
777,2013-02-25,FB
778,2013-02-25,TW
779,2013-02-25,PI
780,2013-02-25,TW
781,2013-02-25,PI
782,2013-02-26,TW
783,2013-02-26,RE
784,2013-02-26,TW
785,2013-02-26,TW
786,2013-02-26,TW
787,2013-02-26,PI
788,2013-02-26,TW
789,2013-02-26,RE
790,2013-02-26,PI
791,2013-02-26,TW
792,2013-02-26,FB
793,2013-02-26,FB
794,2013-02-26,FB
795,2013-02-26,FB
796,2013-02-26,PI
797,2013-02-26,RE
798,2013-02-26,FB
799,2013-02-26,FB
800,2013-02-26,FB
801,2013-02-26,TW
802,2013-02-26,RE
803,2013-02-27,FB
804,2013-02-27,FB
805,2013-02-27,TW
806,2013-02-27,TW
807,2013-02-27,RE
808,2013-02-27,TW
809,2013-02-27,FB
810,2013-02-27,TW
811,2013-02-27,RE
812,2013-02-27,RE
813,2013-02-27,TW
814,2013-02-27,RE
815,2013-02-27,FB
816,2013-02-27,PI
817,2013-02-27,FB
818,2013-02-27,TW
819,2013-02-27,TW
820,2013-02-27,FB
821,2013-02-27,FB
822,2013-02-28,RE
823,2013-02-28,FB
824,2013-02-28,TW
825,2013-02-28,FB
826,2013-02-28,TW
827,2013-02-28,FB
828,2013-02-28,FB
829,2013-02-28,FB
830,2013-02-28,FB
831,2013-02-28,TW
832,2013-02-28,TW
833,2013-02-28,RE
834,2013-02-28,FB
835,2013-02-28,TW
836,2013-02-28,TW
837,2013-02-28,FB
838,2013-02-28,PI
839,2013-02-28,RE
840,2013-02-28,FB
841,2013-02-28,TW
842,2013-02-28,FB
843,2013-02-28,RE
844,2013-02-28,RE
845,2013-02-28,FB
846,2013-02-28,RE
847,2013-02-28,TW
848,2013-02-28,TW
849,2013-02-28,TW
850,2013-02-28,TW
851,2013-02-28,TW
852,2013-03-01,FB
853,2013-03-01,PI
854,2013-03-01,FB
855,2013-03-01,FB
856,2013-03-01,FB
857,2013-03-02,TW
858,2013-03-02,PI
859,2013-03-02,TW
860,2013-03-02,RE
861,2013-03-02,TW
862,2013-03-02,FB
863,2013-03-02,FB
864,2013-03-02,TW
865,2013-03-02,FB
866,2013-03-02,FB
867,2013-03-02,FB
868,2013-03-02,FB
869,2013-03-02,TW
870,2013-03-02,FB
871,2013-03-02,PI
872,2013-03-02,TW
873,2013-03-02,PI
874,2013-03-02,FB
875,2013-03-02,PI
876,2013-03-02,TW
877,2013-03-02,TW
878,2013-03-02,TW
879,2013-03-02,TW
880,2013-03-02,FB
881,2013-03-02,TW
882,2013-03-02,FB
883,2013-03-02,RE
884,2013-03-02,PI
885,2013-03-02,FB
886,2013-03-03,RE
887,2013-03-03,FB
888,2013-03-03,FB
889,2013-03-03,FB
890,2013-03-03,PI
891,2013-03-03,TW
892,2013-03-03,TW
893,2013-03-03,TW
894,2013-03-03,RE
895,2013-03-03,FB
896,2013-03-03,FB
897,2013-03-03,TW
898,2013-03-03,RE
899,2013-03-03,TW
900,2013-03-03,PI
901,2013-03-03,FB
902,2013-03-03,TW
903,2013-03-03,FB
904,2013-03-03,RE
905,2013-03-03,PI
906,2013-03-03,TW
907,2013-03-03,FB
908,2013-03-03,PI
909,2013-03-03,TW
910,2013-03-03,TW
911,2013-03-03,FB
912,2013-03-03,FB
913,2013-03-03,FB
914,2013-03-03,RE
915,2013-03-04,RE
916,2013-03-04,PI
917,2013-03-04,FB
918,2013-03-04,RE
919,2013-03-04,FB
920,2013-03-04,PI
921,2013-03-04,TW
922,2013-03-04,FB
923,2013-03-04,FB
924,2013-03-04,TW
925,2013-03-04,FB
926,2013-03-04,TW
927,2013-03-04,FB
928,2013-03-04,FB
929,2013-03-04,RE
930,2013-03-04,FB
931,2013-03-04,FB
932,2013-03-04,FB
933,2013-03-04,PI
934,2013-03-04,FB
935,2013-03-04,TW
936,2013-03-04,TW
937,2013-03-04,TW
938,2013-03-04,FB
939,2013-03-04,RE
940,2013-03-04,TW
941,2013-03-04,RE
942,2013-03-04,RE
943,2013-03-04,FB
944,2013-03-05,FB
945,2013-03-05,TW
946,2013-03-05,RE
947,2013-03-05,FB
948,2013-03-05,RE
949,2013-03-05,FB
950,2013-03-05,FB
951,2013-03-05,TW
952,2013-03-05,TW
953,2013-03-05,FB
954,2013-03-05,FB
955,2013-03-05,FB
956,2013-03-05,FB
957,2013-03-05,RE
958,2013-03-05,TW
959,2013-03-06,FB
960,2013-03-06,FB
961,2013-03-06,FB
962,2013-03-06,FB
963,2013-03-06,RE
964,2013-03-06,FB
965,2013-03-06,FB
966,2013-03-06,FB
967,2013-03-06,PI
968,2013-03-06,TW
969,2013-03-06,PI
970,2013-03-06,TW
971,2013-03-06,FB
972,2013-03-06,TW
973,2013-03-06,RE
974,2013-03-06,FB
975,2013-03-06,FB
976,2013-03-06,FB
977,2013-03-06,PI
978,2013-03-06,FB
979,2013-03-06,FB
980,2013-03-06,FB
981,2013-03-06,FB
982,2013-03-06,FB
983,2013-03-06,FB
984,2013-03-06,FB
985,2013-03-07,TW
986,2013-03-07,PI
987,2013-03-07,PI
988,2013-03-07,FB
989,2013-03-07,RE
990,2013-03-07,RE
991,2013-03-07,TW
992,2013-03-07,TW
993,2013-03-07,RE
994,2013-03-07,PI
995,2013-03-07,PI
996,2013-03-07,FB
997,2013-03-08,FB
998,2013-03-08,FB
999,2013-03-08,TW
1000,2013-03-08,FB
1001,2013-03-08,TW
1002,2013-03-08,RE
1003,2013-03-08,TW
1004,2013-03-08,FB
1005,2013-03-08,PI
1006,2013-03-08,FB
1007,2013-03-08,FB
1008,2013-03-08,RE
1009,2013-03-08,TW
1010,2013-03-08,TW
1011,2013-03-08,FB
1012,2013-03-08,TW
1013,2013-03-08,FB
1014,2013-03-08,FB
1015,2013-03-08,PI
1016,2013-03-09,FB
1017,2013-03-09,PI
1018,2013-03-09,FB
1019,2013-03-09,RE
1020,2013-03-09,TW
1021,2013-03-09,TW
1022,2013-03-09,RE
1023,2013-03-09,RE
1024,2013-03-09,TW
1025,2013-03-09,TW
1026,2013-03-09,TW
1027,2013-03-10,TW
1028,2013-03-10,TW
1029,2013-03-10,TW
1030,2013-03-10,TW
1031,2013-03-10,FB
1032,2013-03-10,RE
1033,2013-03-10,PI
1034,2013-03-10,FB
1035,2013-03-10,TW
1036,2013-03-10,FB
1037,2013-03-10,TW
1038,2013-03-10,TW
1039,2013-03-10,FB
1040,2013-03-11,RE
1041,2013-03-11,FB
1042,2013-03-11,FB
1043,2013-03-11,TW
1044,2013-03-11,FB
1045,2013-03-11,FB
1046,2013-03-11,PI
1047,2013-03-11,TW
1048,2013-03-11,TW
1049,2013-03-11,RE
1050,2013-03-11,FB
1051,2013-03-11,TW
1052,2013-03-11,FB
1053,2013-03-11,FB
1054,2013-03-11,RE
1055,2013-03-11,TW
1056,2013-03-11,FB
1057,2013-03-11,RE
1058,2013-03-11,TW
1059,2013-03-12,FB
1060,2013-03-13,RE
1061,2013-03-13,TW
1062,2013-03-13,RE
1063,2013-03-13,FB
1064,2013-03-13,PI
1065,2013-03-13,RE
1066,2013-03-13,FB
1067,2013-03-13,PI
1068,2013-03-13,FB
1069,2013-03-13,TW
1070,2013-03-13,RE
1071,2013-03-13,TW
1072,2013-03-13,FB
1073,2013-03-13,TW
1074,2013-03-13,RE
1075,2013-03-13,FB
1076,2013-03-13,FB
1077,2013-03-13,TW
1078,2013-03-13,TW
1079,2013-03-13,TW
1080,2013-03-14,FB
1081,2013-03-14,RE
1082,2013-03-14,TW
1083,2013-03-14,FB
1084,2013-03-14,FB
1085,2013-03-14,PI
1086,2013-03-15,TW
1087,2013-03-15,FB
1088,2013-03-15,RE
1089,2013-03-15,FB
1090,2013-03-15,FB
1091,2013-03-16,TW
1092,2013-03-16,RE
1093,2013-03-16,FB
1094,2013-03-16,TW
1095,2013-03-16,RE
1096,2013-03-16,TW
1097,2013-03-16,PI
1098,2013-03-16,TW
1099,2013-03-16,FB
1100,2013-03-16,FB
1101,2013-03-16,FB
1102,2013-03-16,FB
1103,2013-03-16,TW
1104,2013-03-16,RE
1105,2013-03-16,FB
1106,2013-03-16,TW
1107,2013-03-16,RE
1108,2013-03-16,TW
1109,2013-03-16,FB
1110,2013-03-16,RE
1111,2013-03-16,FB
1112,2013-03-16,RE
1113,2013-03-16,FB
1114,2013-03-17,FB
1115,2013-03-17,PI
1116,2013-03-17,RE
1117,2013-03-17,FB
1118,2013-03-17,FB
1119,2013-03-17,FB
1120,2013-03-17,TW
1121,2013-03-17,FB
1122,2013-03-18,FB
1123,2013-03-18,TW
1124,2013-03-18,TW
1125,2013-03-18,FB
1126,2013-03-18,RE
1127,2013-03-18,FB
1128,2013-03-18,FB
1129,2013-03-18,PI
1130,2013-03-18,FB
1131,2013-03-18,TW
1132,2013-03-18,FB
1133,2013-03-19,RE
1134,2013-03-19,FB
1135,2013-03-19,RE
1136,2013-03-19,PI
1137,2013-03-19,RE
1138,2013-03-19,TW
1139,2013-03-19,TW
1140,2013-03-19,FB
1141,2013-03-19,TW
1142,2013-03-19,RE
1143,2013-03-19,FB
1144,2013-03-19,PI
1145,2013-03-19,RE
1146,2013-03-19,TW
1147,2013-03-19,RE
1148,2013-03-19,TW
1149,2013-03-19,TW
1150,2013-03-19,FB
1151,2013-03-20,FB
