countrycode,language,isofficial,percentage
MKD,Macedonian,TRUE,66.5
MWI,Chichewa,TRUE,58.299999
MDV,Dhivehi,TRUE,100
MYS,Malay,TRUE,58.400002
MLI,Bambara,FALSE,31.799999
MLT,Maltese,TRUE,95.800003
MAR,Arabic,TRUE,65
MHL,Marshallese,TRUE,96.800003
MTQ,Creole French,FALSE,96.599998
MRT,Hassaniya,FALSE,81.699997
MUS,Creole French,FALSE,70.599998
MYT,Mahoré,FALSE,41.900002
MEX,Spanish,TRUE,92.099998
FSM,Trukese,FALSE,41.599998
MDA,Romanian,TRUE,61.900002
MCO,French,TRUE,41.900002
MNG,Mongolian,TRUE,78.800003
MSR,English,TRUE,0
MOZ,Makua,FALSE,27.799999
MMR,Burmese,TRUE,69
NAM,Ovambo,FALSE,50.700001
NRU,Nauru,TRUE,57.5
NPL,Nepali,TRUE,50.400002
NIC,Spanish,TRUE,97.599998
NER,Hausa,FALSE,53.099998
NGA,Joruba,FALSE,21.4
NIU,Niue,FALSE,0
NFK,English,TRUE,0
NOR,Norwegian,TRUE,96.599998
CIV,Akan,FALSE,30
OMN,Arabic,TRUE,76.699997
PAK,Punjabi,FALSE,48.200001
PLW,Palau,TRUE,82.199997
PAN,Spanish,TRUE,76.800003
PNG,Papuan Languages,FALSE,78.099998
PRY,Spanish,TRUE,55.099998
PER,Spanish,TRUE,79.800003
PCN,Pitcairnese,FALSE,0
MNP,Philippene Languages,FALSE,34.099998
PRT,Portuguese,TRUE,99
PRI,Spanish,TRUE,51.299999
POL,Polish,TRUE,97.599998
GNQ,Fang,FALSE,84.800003
QAT,Arabic,TRUE,40.700001
FRA,French,TRUE,93.599998
GUF,Creole French,FALSE,94.300003
PYF,Tahitian,FALSE,46.400002
REU,Creole French,FALSE,91.5
ROM,Romanian,TRUE,90.699997
RWA,Rwanda,TRUE,100
SWE,Swedish,TRUE,89.5
SHN,English,TRUE,0
KNA,Creole English,FALSE,100
LCA,Creole French,FALSE,80
VCT,Creole English,FALSE,99.099998
SPM,French,TRUE,0
DEU,German,TRUE,91.300003
SLB,Malenasian Languages,FALSE,85.599998
ZMB,Bemba,FALSE,29.700001
WSM,Samoan-English,FALSE,52
SMR,Italian,TRUE,100
STP,Crioulo,FALSE,86.300003
SAU,Arabic,TRUE,95
SEN,Wolof,TRUE,48.099998
SYC,Seselwa,FALSE,91.300003
SLE,Mende,FALSE,34.799999
SGP,Chinese,TRUE,77.099998
SVK,Slovak,TRUE,85.599998
SVN,Slovene,TRUE,87.900002
SOM,Somali,TRUE,98.300003
LKA,Singali,TRUE,60.299999
SDN,Arabic,TRUE,49.400002
FIN,Finnish,TRUE,92.699997
SUR,Sranantonga,FALSE,81
SWZ,Swazi,TRUE,89.900002
CHE,German,TRUE,63.599998
SYR,Arabic,TRUE,90
TJK,Tadzhik,TRUE,62.200001
TWN,Min,FALSE,66.699997
TZA,Nyamwesi,FALSE,21.1
DNK,Danish,TRUE,93.5
THA,Thai,TRUE,52.599998
TGO,Ewe,TRUE,23.200001
TKL,Tokelau,FALSE,0
TON,Tongan,TRUE,98.300003
TTO,English,FALSE,93.5
TCD,Sara,FALSE,27.700001
CZE,Czech,TRUE,81.199997
TUN,Arabic,TRUE,69.900002
TUR,Turkish,TRUE,87.599998
TKM,Turkmenian,TRUE,76.699997
TCA,English,TRUE,0
TUV,Tuvalu,TRUE,92.5
UGA,Ganda,FALSE,18.1
UKR,Ukrainian,TRUE,64.699997
HUN,Hungarian,TRUE,98.5
URY,Spanish,TRUE,95.699997
NCL,Malenasian Languages,FALSE,45.400002
NZL,English,TRUE,87
UZB,Uzbek,TRUE,72.599998
BLR,Belorussian,TRUE,65.599998
WLF,Wallis,FALSE,0
VUT,Bislama,TRUE,56.599998
VAT,Italian,TRUE,0
VEN,Spanish,TRUE,96.900002
RUS,Russian,TRUE,86.599998
VNM,Vietnamese,TRUE,86.800003
EST,Estonian,TRUE,65.300003
USA,English,TRUE,86.199997
VIR,English,TRUE,81.699997
UMI,English,TRUE,0
ZWE,Shona,FALSE,72.099998
PSE,Arabic,FALSE,95.900002
AFG,Dari,TRUE,32.099998
NLD,Fries,FALSE,3.7
ANT,English,FALSE,7.8000002
ALB,Greek,FALSE,1.8
DZA,Berberi,FALSE,14
ASM,English,TRUE,3.0999999
AND,Catalan,TRUE,32.299999
AGO,Mbundu,FALSE,21.6
ATG,English,TRUE,0
ARE,Hindi,FALSE,0
ARG,Italian,FALSE,1.7
ARM,Azerbaijani,FALSE,2.5999999
ABW,English,FALSE,9.5
AUS,Italian,FALSE,2.2
AZE,Russian,FALSE,3
BHS,Creole French,FALSE,10.3
BHR,English,FALSE,0
BGD,Chakma,FALSE,0.40000001
BRB,English,TRUE,0
BEL,French,TRUE,32.599998
BLZ,Spanish,FALSE,31.6
BEN,Joruba,FALSE,12.2
BTN,Nepali,FALSE,34.799999
BOL,Ketšua,TRUE,8.1000004
BWA,Shona,FALSE,12.3
BRA,German,FALSE,0.5
GBR,Kymri,FALSE,0.89999998
BRN,Malay-English,FALSE,28.799999
BGR,Turkish,FALSE,9.3999996
BFA,Ful,FALSE,9.6999998
BDI,French,TRUE,0
CHL,Araucan,FALSE,9.6000004
COK,English,FALSE,0
CRI,Creole English,FALSE,2
DJI,Afar,FALSE,34.799999
DMA,Creole French,FALSE,0
DOM,Creole French,FALSE,2
ECU,Ketšua,FALSE,7
EGY,Sinaberberi,FALSE,0
SLV,Nahua,FALSE,0
ERI,Tigre,FALSE,31.700001
ESP,Catalan,FALSE,16.9
ZAF,Xhosa,TRUE,17.700001
ETH,Amhara,FALSE,30
FJI,Hindi,FALSE,43.700001
PHL,Cebuano,FALSE,23.299999
FRO,Danish,TRUE,0
GAB,Punu-sira-nzebi,FALSE,17.1
GMB,Ful,FALSE,16.200001
GEO,Russian,FALSE,8.8000002
GHA,Mossi,FALSE,15.8
GIB,Arabic,FALSE,7.4000001
GRL,Danish,TRUE,12.5
GLP,French,TRUE,0
GUM,Chamorro,TRUE,29.6
GTM,Quiché,FALSE,10.1
GIN,Malinke,FALSE,23.200001
GNB,Ful,FALSE,16.6
GUY,Caribbean,FALSE,2.2
HTI,French,TRUE,0
HND,Garifuna,FALSE,1.3
HKG,English,TRUE,2.2
SJM,Russian,FALSE,0
IDN,Sunda,FALSE,15.8
IND,Bengali,FALSE,8.1999998
IRQ,Kurdish,FALSE,19
IRN,Azerbaijani,FALSE,16.799999
IRL,Irish,TRUE,1.6
ISL,English,FALSE,0
ISR,Arabic,TRUE,18
ITA,Sardinian,FALSE,2.7
TMP,Portuguese,TRUE,0
AUT,Serbo-Croatian,FALSE,2.2
JAM,Hindi,FALSE,1.9
JPN,Korean,FALSE,0.5
YEM,Soqutri,FALSE,0
JOR,Circassian,FALSE,1
CXR,English,TRUE,0
YUG,Albaniana,FALSE,16.5
KHM,Vietnamese,FALSE,5.5
CMR,Bamileke-bamum,FALSE,18.6
CAN,French,TRUE,23.4
CPV,Portuguese,TRUE,0
KAZ,Russian,FALSE,34.700001
KEN,Luhya,FALSE,13.8
CAF,Banda,FALSE,23.5
CHN,Zhuang,FALSE,1.4
KGZ,Russian,TRUE,16.200001
KIR,Tuvalu,FALSE,0.5
COL,Chibcha,FALSE,0.40000001
COM,Comorian-French,FALSE,12.9
COG,Teke,FALSE,17.299999
COD,Kongo,FALSE,16
CCK,English,TRUE,0
PRK,Chinese,FALSE,0.1
KOR,Chinese,FALSE,0.1
GRC,Turkish,FALSE,0.89999998
HRV,Slovene,FALSE,0
KWT,English,FALSE,0
CYP,Turkish,TRUE,22.4
LAO,Mon-khmer,FALSE,16.5
LVA,Russian,FALSE,32.5
LSO,Zulu,FALSE,15
LBN,Armenian,FALSE,5.9000001
LBR,Bassa,FALSE,13.7
LBY,Berberi,FALSE,1
LIE,Italian,FALSE,2.5
LTU,Russian,FALSE,8.1000004
LUX,Portuguese,FALSE,13
MAC,Portuguese,TRUE,2.3
MDG,French,TRUE,0
MKD,Albaniana,FALSE,22.9
MWI,Lomwe,FALSE,18.4
MDV,English,FALSE,0
MYS,Chinese,FALSE,9
MLI,Ful,FALSE,13.9
MLT,English,TRUE,2.0999999
MAR,Berberi,FALSE,33
MHL,English,TRUE,0
MTQ,French,TRUE,0
MRT,Wolof,FALSE,6.5999999
MUS,Bhojpuri,FALSE,21.1
MYT,French,TRUE,20.299999
MEX,Náhuatl,FALSE,1.8
FSM,Pohnpei,FALSE,23.799999
MDA,Russian,FALSE,23.200001
MCO,Monegasque,FALSE,16.1
MNG,Kazakh,FALSE,5.9000001
MOZ,Tsonga,FALSE,12.4
MMR,Shan,FALSE,8.5
NAM,Nama,FALSE,12.4
NRU,Kiribati,FALSE,17.9
NPL,Maithili,FALSE,11.9
NIC,Miskito,FALSE,1.6
NER,Songhai-zerma,FALSE,21.200001
NGA,Hausa,FALSE,21.1
NIU,English,TRUE,0
NOR,English,FALSE,0.5
CIV,Gur,FALSE,11.7
OMN,Balochi,FALSE,0
PAK,Pashto,FALSE,13.1
PLW,Philippene Languages,FALSE,9.1999998
PAN,Creole English,FALSE,14
PNG,Malenasian Languages,FALSE,20
PRY,Guaraní,TRUE,40.099998
PER,Ketšua,TRUE,16.4
MNP,Chamorro,FALSE,30
PRI,English,FALSE,47.400002
POL,German,FALSE,1.3
GNQ,Bubi,FALSE,8.6999998
QAT,Urdu,FALSE,0
FRA,Arabic,FALSE,2.5
GUF,Indian Languages,FALSE,1.9
PYF,French,TRUE,40.799999
REU,Chinese,FALSE,2.8
ROM,Hungarian,FALSE,7.1999998
RWA,French,TRUE,0
SWE,Finnish,FALSE,2.4000001
KNA,English,TRUE,0
LCA,English,TRUE,20
VCT,English,TRUE,0
DEU,Turkish,FALSE,2.5999999
SLB,Papuan Languages,FALSE,8.6000004
ZMB,Tongan,FALSE,11
WSM,Samoan,TRUE,47.5
STP,French,FALSE,0.69999999
SEN,Ful,FALSE,21.700001
SYC,English,TRUE,3.8
SLE,Temne,FALSE,31.799999
SGP,Malay,TRUE,14.1
SVK,Hungarian,FALSE,10.5
SVN,Serbo-Croatian,FALSE,7.9000001
SOM,Arabic,TRUE,0
LKA,Tamil,TRUE,19.6
SDN,Dinka,FALSE,11.5
FIN,Swedish,TRUE,5.6999998
SUR,Hindi,FALSE,0
SWZ,Zulu,FALSE,2
CHE,French,TRUE,19.200001
SYR,Kurdish,FALSE,9
TJK,Uzbek,FALSE,23.200001
TWN,Mandarin Chinese,TRUE,20.1
TZA,Swahili,TRUE,8.8000002
DNK,Turkish,FALSE,0.80000001
THA,Lao,FALSE,26.9
TGO,Kabyé,TRUE,13.8
TKL,English,TRUE,0
TON,English,TRUE,0
TTO,Hindi,FALSE,3.4000001
TCD,Arabic,TRUE,12.3
CZE,Moravian,FALSE,12.9
TUN,Arabic-French,FALSE,26.299999
TUR,Kurdish,FALSE,10.6
TKM,Uzbek,FALSE,9.1999998
TUV,Kiribati,FALSE,7.5
UGA,Nkole,FALSE,10.7
UKR,Russian,FALSE,32.900002
HUN,Romani,FALSE,0.5
NCL,French,TRUE,34.299999
NZL,Maori,FALSE,4.3000002
UZB,Russian,FALSE,10.9
BLR,Russian,TRUE,32
WLF,Futuna,FALSE,0
VUT,English,TRUE,28.299999
VEN,Goajiro,FALSE,0.40000001
RUS,Tatar,FALSE,3.2
VNM,Tho,FALSE,1.8
EST,Russian,FALSE,27.799999
USA,Spanish,FALSE,7.5
VIR,Spanish,FALSE,13.3
ZWE,Ndebele,FALSE,16.200001
PSE,Hebrew,FALSE,4.0999999
AFG,Uzbek,FALSE,8.8000002
NLD,Arabic,FALSE,0.89999998
ANT,Dutch,TRUE,0
ALB,Macedonian,FALSE,0.1
ASM,Tongan,FALSE,3.0999999
AND,Portuguese,FALSE,10.8
AGO,Kongo,FALSE,13.2
ARG,Indian Languages,FALSE,0.30000001
ABW,Spanish,FALSE,7.4000001
AUS,Greek,FALSE,1.6
AZE,Lezgian,FALSE,2.3
BGD,Marma,FALSE,0.2
BEL,Italian,FALSE,2.4000001
BLZ,Maya Languages,FALSE,9.6000004
BEN,Adja,FALSE,11.1
BTN,Asami,FALSE,15.2
BOL,Aimará,TRUE,3.2
BWA,San,FALSE,3.5
BRA,Italian,FALSE,0.40000001
GBR,Gaeli,FALSE,0.1
BRN,Chinese,FALSE,9.3000002
BGR,Romani,FALSE,3.7
BFA,Gurma,FALSE,5.6999998
BDI,Swahili,FALSE,0
CHL,Aimará,FALSE,0.5
CRI,Chibcha,FALSE,0.30000001
DJI,Arabic,TRUE,10.6
ERI,Afar,FALSE,4.3000002
ESP,Galecian,FALSE,6.4000001
ZAF,Afrikaans,TRUE,14.3
ETH,Tigrinja,FALSE,7.1999998
PHL,Ilocano,FALSE,9.3000002
GAB,Mpongwe,FALSE,14.6
GMB,Wolof,FALSE,12.6
GEO,Armenian,FALSE,6.8000002
GHA,Ewe,FALSE,11.9
GUM,Philippene Languages,FALSE,19.700001
GTM,Cakchiquel,FALSE,8.8999996
GIN,Susu,FALSE,11
GNB,Balante,FALSE,14.6
GUY,Arawakan,FALSE,1.4
HND,Creole English,FALSE,0.2
HKG,Fukien,FALSE,1.9
IDN,Malay,TRUE,12.1
IND,Telugu,FALSE,7.8000002
IRQ,Azerbaijani,FALSE,1.7
IRN,Kurdish,FALSE,9.1000004
ISR,Russian,FALSE,8.8999996
ITA,Friuli,FALSE,1.2
AUT,Turkish,FALSE,1.5
JPN,Chinese,FALSE,0.2
JOR,Armenian,FALSE,1
YUG,Hungarian,FALSE,3.4000001
KHM,Chinese,FALSE,3.0999999
CMR,Duala,FALSE,10.9
CAN,Chinese,FALSE,2.5
KAZ,Ukrainian,FALSE,5
KEN,Luo,FALSE,12.8
CAF,Mandjia,FALSE,14.8
CHN,Mantšu,FALSE,0.89999998
KGZ,Uzbek,FALSE,14.1
COL,Creole English,FALSE,0.1
COM,Comorian-madagassi,FALSE,5.5
COG,Mboshi,FALSE,11.4
COD,Mongo,FALSE,13.5
LAO,Thai,FALSE,7.8000002
LVA,Belorussian,FALSE,4.0999999
LSO,English,TRUE,0
LBN,French,FALSE,0
LBR,Grebo,FALSE,8.8999996
LIE,Turkish,FALSE,2.5
LTU,Polish,FALSE,7
LUX,Italian,FALSE,4.5999999
MAC,Mandarin Chinese,FALSE,1.2
MKD,Turkish,FALSE,4
MWI,Yao,FALSE,13.2
MYS,Tamil,FALSE,3.9000001
MLI,Senufo and Minianka,FALSE,12
MRT,Tukulor,FALSE,5.4000001
MUS,French,FALSE,3.4000001
MYT,Malagasy,FALSE,16.1
MEX,Yucatec,FALSE,1.1
FSM,Mortlock,FALSE,7.5999999
MDA,Ukrainian,FALSE,8.6000004
MCO,Italian,FALSE,16.1
MNG,Dorbet,FALSE,2.7
MOZ,Sena,FALSE,9.3999996
MMR,Karen,FALSE,6.1999998
NAM,Kavango,FALSE,9.6999998
NRU,Chinese,FALSE,8.5
NPL,Bhojpuri,FALSE,7.5
NIC,Creole English,FALSE,0.5
NER,Tamashek,FALSE,10.4
NGA,Ibo,FALSE,18.1
NOR,Danish,FALSE,0.40000001
CIV,Malinke,FALSE,11.4
PAK,Sindhi,FALSE,11.8
PLW,English,TRUE,3.2
PAN,Guaymí,FALSE,5.3000002
PRY,Portuguese,FALSE,3.2
PER,Aimará,TRUE,2.3
MNP,Chinese,FALSE,7.0999999
POL,Ukrainian,FALSE,0.60000002
FRA,Portuguese,FALSE,1.2
PYF,Chinese,FALSE,2.9000001
REU,Comorian,FALSE,2.8
ROM,Romani,TRUE,0.69999999
SWE,Southern Slavic Languages,FALSE,1.3
DEU,Southern Slavic Languages,FALSE,1.4
SLB,Polynesian Languages,FALSE,3.8
ZMB,Nyanja,FALSE,7.8000002
WSM,English,TRUE,0.60000002
SEN,Serer,FALSE,12.5
SYC,French,TRUE,1.3
SLE,Limba,FALSE,8.3000002
SGP,Tamil,TRUE,7.4000001
SVK,Romani,FALSE,1.7
SVN,Hungarian,FALSE,0.5
LKA,Mixed Languages,FALSE,19.6
SDN,Nubian Languages,FALSE,8.1000004
FIN,Russian,FALSE,0.40000001
CHE,Italian,TRUE,7.6999998
TJK,Russian,FALSE,9.6999998
TWN,Hakka,FALSE,11
TZA,Hehet,FALSE,6.9000001
DNK,Arabic,FALSE,0.69999999
THA,Chinese,FALSE,12.1
TGO,Watyi,FALSE,10.3
TTO,Creole English,FALSE,2.9000001
TCD,Mayo-kebbi,FALSE,11.5
CZE,Slovak,FALSE,3.0999999
TUN,Arabic-French-English,FALSE,3.2
TUR,Arabic,FALSE,1.4
TKM,Russian,FALSE,6.6999998
TUV,English,TRUE,0
UGA,Kiga,FALSE,8.3000002
UKR,Romanian,FALSE,0.69999999
HUN,German,FALSE,0.40000001
NCL,Polynesian Languages,FALSE,11.6
UZB,Tadzhik,FALSE,4.4000001
BLR,Ukrainian,FALSE,1.3
VUT,French,TRUE,14.2
VEN,Warrau,FALSE,0.1
RUS,Ukrainian,FALSE,1.3
VNM,Thai,FALSE,1.6
EST,Ukrainian,FALSE,2.8
USA,French,FALSE,0.69999999
VIR,French,FALSE,2.5
ZWE,English,TRUE,2.2
AFG,Turkmenian,FALSE,1.9
NLD,Turkish,FALSE,0.80000001
AND,French,FALSE,6.1999998
AGO,Luimbe-nganguela,FALSE,5.4000001
ABW,Dutch,TRUE,5.3000002
AUS,Canton Chinese,FALSE,1.1
AZE,Armenian,FALSE,2
BGD,Garo,FALSE,0.1
BEL,Arabic,FALSE,1.6
BLZ,Garifuna,FALSE,6.8000002
BEN,Aizo,FALSE,8.6999998
BOL,Guaraní,FALSE,0.1
BWA,Khoekhoe,FALSE,2.5
BRA,Japanese,FALSE,0.40000001
BRN,English,FALSE,3.0999999
BGR,Macedonian,FALSE,2.5999999
BFA,Busansi,FALSE,3.5
CHL,Rapa nui,FALSE,0.2
CRI,Chinese,FALSE,0.2
ERI,Hadareb,FALSE,3.8
ESP,Basque,FALSE,1.6
ZAF,Northsotho,FALSE,9.1000004
ETH,Gurage,FALSE,4.6999998
PHL,Hiligaynon,FALSE,9.1000004
GAB,Mbete,FALSE,13.8
GMB,Diola,FALSE,9.1999998
GEO,Azerbaijani,FALSE,5.5
GHA,Ga-adangme,FALSE,7.8000002
GUM,Korean,FALSE,3.3
GTM,Kekchí,FALSE,4.9000001
GIN,Kissi,FALSE,6
GNB,Portuguese,TRUE,8.1000004
HND,Miskito,FALSE,0.2
HKG,Hakka,FALSE,1.6
IDN,Madura,FALSE,4.3000002
IND,Marathi,FALSE,7.4000001
IRQ,Assyrian,FALSE,0.80000001
IRN,Gilaki,FALSE,5.3000002
ITA,French,FALSE,0.5
AUT,Hungarian,FALSE,0.40000001
JPN,English,FALSE,0.1
YUG,Romani,FALSE,1.4
KHM,Tšam,FALSE,2.4000001
CMR,Ful,FALSE,9.6000004
CAN,Italian,FALSE,1.7
KAZ,German,FALSE,3.0999999
KEN,Kamba,FALSE,11.2
CAF,Ngbaka,FALSE,7.5
CHN,Hui,FALSE,0.80000001
KGZ,Ukrainian,FALSE,1.7
COL,Arawakan,FALSE,0.1
COM,Comorian-Arabic,FALSE,1.6
COG,Mbete,FALSE,4.8000002
COD,Rwanda,FALSE,10.3
LAO,Lao-Soung,FALSE,5.1999998
LVA,Ukrainian,FALSE,2.9000001
LBR,Gio,FALSE,7.9000001
LTU,Belorussian,FALSE,1.4
LUX,French,TRUE,4.1999998
MAC,English,FALSE,0.5
MKD,Romani,FALSE,2.3
MWI,Ngoni,FALSE,6.6999998
MYS,Iban,FALSE,2.8
MLI,Soninke,FALSE,8.6999998
MRT,Soninke,FALSE,2.7
MUS,Hindi,FALSE,1.2
MEX,Zapotec,FALSE,0.60000002
FSM,Kosrean,FALSE,7.3000002
MDA,Gagauzi,FALSE,3.2
MCO,English,FALSE,6.5
MNG,Bajad,FALSE,1.9
MOZ,Lomwe,FALSE,7.8000002
MMR,Rakhine,FALSE,4.5
NAM,Afrikaans,FALSE,9.5
NRU,Tuvalu,FALSE,8.5
NPL,Tharu,FALSE,5.4000001
NIC,Sumo,FALSE,0.2
NER,Ful,FALSE,9.6999998
NGA,Ful,FALSE,11.3
NOR,Swedish,FALSE,0.30000001
CIV,Kru,FALSE,10.5
PAK,Saraiki,FALSE,9.8000002
PLW,Chinese,FALSE,1.6
PAN,Cuna,FALSE,2
PRY,German,FALSE,0.89999998
MNP,Korean,FALSE,6.5
POL,Belorussian,FALSE,0.5
FRA,Italian,FALSE,0.40000001
REU,Malagasy,FALSE,1.4
ROM,German,FALSE,0.40000001
SWE,Arabic,FALSE,0.80000001
DEU,Italian,FALSE,0.69999999
ZMB,Lozi,FALSE,6.4000001
SEN,Diola,FALSE,5
SLE,Kono-vai,FALSE,5.0999999
SVK,Czech and Moravian,FALSE,1.1
SDN,Beja,FALSE,6.4000001
FIN,Estonian,FALSE,0.2
CHE,Romansh,TRUE,0.60000002
TWN,Ami,FALSE,0.60000002
TZA,Haya,FALSE,5.9000001
DNK,German,FALSE,0.5
THA,Malay,FALSE,3.5999999
TGO,Kotokoli,FALSE,5.6999998
TCD,Kanem-bornu,FALSE,9
CZE,Polish,FALSE,0.60000002
TKM,Kazakh,FALSE,2
UGA,Soga,FALSE,8.1999998
UKR,Bulgariana,FALSE,0.30000001
HUN,Serbo-Croatian,FALSE,0.2
UZB,Kazakh,FALSE,3.8
BLR,Polish,FALSE,0.60000002
RUS,Chuvash,FALSE,0.89999998
VNM,Muong,FALSE,1.5
EST,Belorussian,FALSE,1.4
USA,German,FALSE,0.69999999
ZWE,Nyanja,FALSE,2.2
AFG,Balochi,FALSE,0.89999998
AGO,Nyaneka-nkhumbi,FALSE,5.4000001
AUS,Arabic,FALSE,1
BGD,Khasi,FALSE,0.1
BEL,German,TRUE,1
BEN,Bariba,FALSE,8.6999998
BWA,Ndebele,FALSE,1.3
BRA,Indian Languages,FALSE,0.2
BFA,Dagara,FALSE,3.0999999
ERI,Bilin,FALSE,3
ZAF,English,TRUE,8.5
ETH,Somali,FALSE,4.0999999
PHL,Bicol,FALSE,5.6999998
GMB,Soninke,FALSE,7.5999999
GEO,Osseetti,FALSE,2.4000001
GHA,Gurma,FALSE,3.3
GUM,Japanese,FALSE,2
GTM,Mam,FALSE,2.7
GIN,Kpelle,FALSE,4.5999999
GNB,Malinke,FALSE,6.9000001
HKG,Chiu chau,FALSE,1.4
IDN,Minangkabau,FALSE,2.4000001
IND,Tamil,FALSE,6.3000002
IRQ,Persian,FALSE,0.80000001
IRN,Luri,FALSE,4.3000002
ITA,German,FALSE,0.5
AUT,Slovene,FALSE,0.40000001
JPN,Philippene Languages,FALSE,0.1
YUG,Slovak,FALSE,0.69999999
CMR,Tikar,FALSE,7.4000001
CAN,German,FALSE,1.6
KAZ,Uzbek,FALSE,2.3
KEN,Kalenjin,FALSE,10.8
CAF,Sara,FALSE,6.4000001
CHN,Miao,FALSE,0.69999999
KGZ,Tatar,FALSE,1.3
COL,Caribbean,FALSE,0.1
COM,Comorian-Swahili,FALSE,0.5
COG,Punu,FALSE,2.9000001
COD,Zande,FALSE,6.0999999
LVA,Polish,FALSE,2.0999999
LBR,Kru,FALSE,7.1999998
LTU,Ukrainian,FALSE,1.1
LUX,German,TRUE,2.3
MKD,Serbo-Croatian,FALSE,2
MYS,English,FALSE,1.6
MLI,Tamashek,FALSE,7.3000002
MRT,Ful,FALSE,1.2
MUS,Tamil,FALSE,0.80000001
MEX,Mixtec,FALSE,0.60000002
